Season,Game_Date,Game_Day,Type,Where,Opponent_School,Result,Tm,Opp,OT
1973,1972-12-02,Sat,REG,H,Pittsburgh,W,99,70,NA
1973,1972-12-05,Tue,REG,N,Dartmouth,W,128,86,NA
1973,1972-12-09,Sat,REG,N,Virginia Tech,W,96,82,NA
1973,1972-12-11,Mon,REG,A,Kentucky,W,78,70,NA
1973,1972-12-15,Fri,REG,N,Duke,W,91,86,NA
1973,1972-12-16,Sat,REG,N,North Carolina State,L,61,68,NA
1973,1972-12-22,Fri,REG,A,University of California,W,64,61,NA
1973,1972-12-28,Thu,REG,N,Utah,W,73,61,NA
1973,1972-12-29,Fri,REG,N,Washington,W,89,72,NA
1973,1972-12-30,Sat,REG,N,Louisville,W,89,86,NA
1973,1973-01-04,Thu,REG,N,Furman,W,100,67,NA
1973,1973-01-06,Sat,REG,N,Nebraska,W,79,62,NA
1973,1973-01-10,Wed,REG,H,Clemson,W,92,58,NA
1973,1973-01-17,Wed,REG,A,Wake Forest,W,99,80,NA
1973,1973-01-20,Sat,REG,H,Duke,W,82,71,NA
1973,1973-01-25,Thu,REG,H,Virginia,L,78,84,NA
1973,1973-01-27,Sat,REG,A,Maryland,L,88,94,NA
1973,1973-01-31,Wed,REG,H,Wake Forest,W,69,51,NA
1973,1973-02-05,Mon,REG,A,North Carolina State,L,73,76,NA
1973,1973-02-09,Fri,REG,N,Georgia Tech,W,107,72,NA
1973,1973-02-10,Sat,REG,N,Clemson,W,84,69,NA
1973,1973-02-14,Wed,REG,H,Maryland,W,95,85,NA
1973,1973-02-17,Sat,REG,N,Florida State,W,91,79,NA
1973,1973-02-21,Wed,REG,H,Miami,L,92,102,NA
1973,1973-02-24,Sat,REG,A,Virginia,W,76,68,NA
1973,1973-02-27,Tue,REG,A,North Carolina State,L,78,82,NA
1973,1973-03-03,Sat,REG,A,Duke,W,72,70,NA
1973,1973-03-08,Thu,CTOURN,A,Wake Forest,L,52,54,OT
1973,1973-03-17,Sat,NIT,N,Oral Roberts,W,82,65,NA
1973,1973-03-20,Tue,NIT,N,Massachusetts,W,73,63,NA
1973,1973-03-24,Sat,NIT,N,Notre Dame,L,71,78,NA
1973,1973-03-25,Sun,NIT,N,Alabama,W,88,69,NA
1974,1973-12-01,Sat,REG,H,Houston,W,97,74,NA
1974,1973-12-05,Wed,REG,H,University of California,W,74,70,NA
1974,1973-12-08,Sat,REG,H,Vermont,W,103,48,NA
1974,1973-12-10,Mon,REG,H,Kentucky,W,101,84,NA
1974,1973-12-15,Sat,REG,H,East Tennessee State,W,81,63,NA
1974,1973-12-20,Thu,REG,N,Virginia Tech,W,83,78,NA
1974,1973-12-28,Sat,REG,A,St. Thomas,W,112,72,NA
1974,1974-01-04,Fri,REG,N,North Carolina State,L,77,78,NA
1974,1974-01-05,Sat,REG,N,Duke,W,84,75,NA
1974,1974-01-09,Wed,REG,A,Clemson,W,102,90,NA
1974,1974-01-12,Sat,REG,A,Virginia,W,87,75,NA
1974,1974-01-16,Wed,REG,H,Wake Forest,W,95,78,NA
1974,1974-01-19,Sat,REG,A,Duke,W,73,71,NA
1974,1974-01-22,Tue,REG,H,North Carolina State,L,80,83,NA
1974,1974-01-26,Sat,REG,H,Maryland,W,82,73,NA
